Week,Publish Slot,Track,Content Category,Video Topic,Storytelling Angle,Hook Line,Google Flow Visual Style,SEO Title,Status
25,Mon,A - Science & The Tree,Phytochemistry,"Agarospirol, jinkohol and kusunol - the other key molecules","POV: a molecule (relay)","Beyond alpha-guaiene, three more molecules carry the heavy notes.","3D molecular cloud, spotlighting three structures","The Other Molecules That Make Agarwood Smell So Deep",Planned
25,Wed,B - History & Trade,Colonial Assam,"British colonial Assam - 'agar' as a taxed commodity","Letter / colonial clerk","A colonial officer in Assam files a report: revenue from 'agar wood', rising.","Tea-country bungalow, ledgers, monsoon light","Agarwood Under the Raj: 'Agar' as a Colonial Commodity in Assam",Planned
25,Fri,C - Culture / Myth / Medicine,Tibetan medicine,"Tibetan medicine - agarwood in 'precious pills'","Myth-bust (careful framing)","A multi-ingredient 'precious pill' lists agarwood among dozens of others.","High-altitude monastery pharmacy, herbs, butter lamps","Agarwood in Tibetan Medicine: Inside the 'Precious Pills'",Planned
25,Sun,D - Wildcard,Mystery,"Can two pieces of agarwood ever smell identical?","Unsolved mystery","Same tree, same wound, same year - and still no two chips match. Why?","Macro of two near-identical chips, subtle differences glowing","Why No Two Pieces of Agarwood Smell Exactly Alike",Planned
26,Mon,A - Science & The Tree,Phytochemistry,"Nor-ketoagarofurans and the bitter notes","POV: a molecule","Some of oud's strangest, sharpest notes come from one odd family of molecules.","3D molecular animation, jagged structures, cool accent","The Molecules Behind Agarwood's Bitter, Animalic Edge",Planned
26,Wed,B - History & Trade,Modern,"19th-century science argues: is agarwood a disease or a wood?","Detective / debate","For decades, botanists couldn't agree: is agarwood healthy wood or a sickness?","Period lecture hall, competing diagrams, gaslight","Disease or Wood? The 19th-Century Argument Over Agarwood",Planned
26,Fri,C - Culture / Myth / Medicine,Sufism,"Sufi gatherings and fragrant smoke","Ritual close-up","In a candlelit circle, the incense rises with the chant.","Dim hall, circle of figures, smoke, warm low light","Agarwood in Sufi Practice: Incense, Chant and Presence",Planned
26,Sun,D - Wildcard,People,"Profile - a Vietnamese master distiller","Profile / portrait","He can name a forest from a single drop of its oil. Meet him.","Intimate documentary, copper still, weathered hands","Meet a Master of Vietnamese Oud Distillation",Planned
27,Mon,A - Science & The Tree,Burning chemistry,"What heat does to oud - the pyrolysis of burning agarwood","Lab bench","The smell on the chip and the smell in the smoke are not the same thing.","Macro of a heated chip, smoke trails, IR-style overlay","Why Burning Agarwood Smells Different From the Raw Wood",Planned
27,Wed,B - History & Trade,Modern,"Early 20th-century theories of agarwood formation","Detective / archive","A century ago, scientists guessed at what we now film under a microscope.","Sepia lab notes, microscopes, old photographs","How Scientists Used to Explain Agarwood (Before We Knew)",Planned
27,Fri,C - Culture / Myth / Medicine,Material culture,"Agarwood prayer beads - wearing the wood","Object biography","A single string of beads can be worth more than a car. Here's why.","Macro of dark beads catching light, hands counting","Agarwood Prayer Beads: The Wood You Wear",Planned
